account_id,amount,duration,status,balance,min_balance,std_balance,max_balance,last_balance,credits,income,std_income,last_income,expenses,std_expenses,last_expenses,insurance,household,sanctions,card,gender,frequency,region,age,relocation,account
12505741,180425,24,0,45425.17,10639.0,14055.0,52645.1,13975.1,129.78,35545.2,6385.15,28387.0,24528.04,9758.62,19743.9,0.0,1.0,0.0,0,0,1,6,27.0,0.0,48
2731301,63647,24,0,46128.0,18370.2,12621.92,123328.9,26910.5,132.71,22625.1,36565.33,20300.0,13195.96,12609.01,8893.5,0.0,0.0,0.0,0,0,1,5,30.0,0.0,41
14217321,123969,24,0,24568.54,4191.0,4763.42,42481.0,17922.9,104.83,13101.58,4389.42,6989.0,15943.44,19514.61,11334.2,0.0,1.0,0.0,0,0,0,4,21.0,0.0,61
733089,83259,48,0,35083.64,19885.3,9017.65,71435.2,43756.0,187.16,22531.62,2847.13,19448.0,19207.2,8552.97,19715.7,0.0,1.0,0.0,0,0,1,0,49.0,0.0,22
7091112,64730,12,0,26200.95,17319.1,5366.02,44657.5,24197.8,114.59,9355.27,2833.05,13601.0,16981.63,5819.34,15215.6,0.0,1.0,0.0,0,0,1,6,29.0,0.0,55
8678448,88052,24,0,26429.64,7141.3,6583.36,52953.6,25569.1,112.81,14453.04,4926.65,21691.0,16415.57,10121.26,15684.7,0.0,1.0,0.0,0,1,1,2,43.0,0.0,21
7600077,242347,48,0,58974.37,23336.6,18988.99,114198.5,25797.9,180.13,59904.32,40142.63,15459.0,55744.23,24999.97,42347.2,0.0,1.0,0.0,0,1,1,1,21.0,1.0,36
59560,51853,48,0,29238.23,12721.3,6898.61,49799.7,28748.3,138.73,17257.53,3713.22,20908.0,15044.87,6461.84,16753.1,0.0,1.0,0.0,0,0,1,1,16.0,0.0,68
7034169,57944,12,0,48334.94,14654.8,7941.93,135201.8,42658.6,156.89,43649.24,33134.81,41359.0,33895.51,29730.47,28311.8,0.0,0.0,0.0,2,1,1,3,29.0,0.0,60
9169954,30548,12,0,37697.87,16423.2,6270.38,57279.9,39912.0,185.1,18238.16,4856.79,20152.0,15835.03,7200.33,23033.0,1.0,1.0,0.0,0,1,1,5,33.0,0.0,80
2849601,115253,24,0,53574.48,13298.9,15521.72,112607.3,23417.8,293.13,45695.89,36118.55,28761.0,36003.52,24121.42,20625.8,0.0,1.0,0.0,0,1,1,0,46.0,1.0,42
13463332,78756,48,0,29145.36,19702.9,5886.34,45699.5,37352.7,93.44,20047.49,2875.56,9998.0,15627.06,4089.31,6219.4,0.0,0.0,0.0,0,0,1,1,34.0,1.0,67
9527040,60996,12,0,55806.56,18624.7,21720.13,116950.6,42250.7,222.06,49311.27,4512.91,39847.0,39278.79,19655.75,41625.5,0.0,1.0,0.0,2,1,0,4,57.0,1.0,82
13278006,161239,36,0,42779.44,15960.5,14877.17,110508.0,40456.7,267.41,43771.42,41235.24,110404.0,40525.05,29915.79,89824.0,1.0,1.0,0.0,0,1,1,6,29.0,0.0,33
7418862,238115,36,0,57034.5,19366.8,16889.0,119977.6,31843.3,185.33,24375.17,5238.36,30074.0,17523.42,19142.17,46555.6,0.0,0.0,0.0,0,1,1,0,30.0,1.0,60
14205439,219611,36,0,50071.7,8895.5,17199.91,133677.6,24886.5,216.31,61045.77,51580.85,78885.0,59982.99,51474.42,63458.0,1.0,1.0,0.0,0,1,1,2,22.0,0.0,56
14672857,288822,48,0,52572.57,15090.4,13168.87,104396.2,38118.0,181.36,53157.5,24082.22,42516.0,37574.31,20278.07,43462.1,0.0,1.0,0.0,0,0,0,0,25.0,1.0,92
13208901,4980,12,0,39634.37,13963.9,13716.58,70936.4,16141.7,178.68,44076.19,6201.51,18980.0,40142.57,24238.4,46059.5,1.0,1.0,0.0,0,1,1,3,36.0,0.0,66
14642523,18621,12,0,31477.82,22393.2,6070.64,48991.7,33146.1,103.76,18656.16,4293.86,18060.0,16509.14,2911.05,12990.8,1.0,1.0,0.0,2,1,1,4,29.0,0.0,53
2314439,110361,24,0,33594.28,7439.0,8895.44,120477.8,27181.7,164.37,30769.72,22952.64,9347.0,19180.77,15027.06,13533.4,0.0,1.0,0.0,0,1,1,3,46.0,0.0,58
4777839,151308,24,0,52385.77,9491.7,17444.13,118555.2,37534.7,217.32,55274.06,38688.63,35574.0,57037.55,44130.69,69028.3,1.0,1.0,0.0,0,1,0,7,32.0,0.0,73
6217340,70549,12,0,68135.47,34131.6,21142.15,124307.4,66082.0,300.23,47179.98,8973.53,38129.0,49646.39,32334.99,36853.2,0.0,1.0,0.0,2,0,1,4,51.0,0.0,51
